LocationAbbr,YearStart,Stratification1,High blood pressure,High cholesterol,Taking medicine for high cholesterol,Taking medicine to control high blood pressure,high_risk
FL,2019,Male,43.55,31.6,31.25,64.1,1
FL,2019,"Multiracial, non-Hispanic",43.05,38.7,38.2,67.65,0
FL,2019,Overall,40.5,30.799999999999997,30.45,68.45,1
FL,2019,"White, non-Hispanic",42.75,32.5,32.15,64.5,1
GA,2019,"Asian, non-Hispanic",,26.5,25.4,,0
GA,2019,"Black, non-Hispanic",54.6,28.6,28.3,70.8,1
GA,2019,Female,43.15,29.25,29.1,70.35,0
GA,2019,Hispanic,27.1,25.8,25.5,49.099999999999994,0
GA,2019,Male,46.2,32.4,31.95,68.9,1
GA,2019,Overall,44.599999999999994,30.799999999999997,30.5,69.75,1
GA,2019,"White, non-Hispanic",42.400000000000006,33.9,33.65,71.30000000000001,1
GA,2021,"Asian, non-Hispanic",21.7,50.6,50.6,,0
GA,2021,"Black, non-Hispanic",54.25,29.299999999999997,29.1,78.69999999999999,1
GA,2021,Female,43.85,34.5,34.25,79.15,0
GA,2021,Hispanic,33.5,34.8,34.35,53.5,0
GA,2021,Male,49.65,35.25,34.9,69.9,1
GA,2021,"Multiracial, non-Hispanic",46.05,40.25,40.25,61.65,0
GA,2021,Overall,46.55,34.85,34.55,73.85,1
GA,2021,"White, non-Hispanic",45.0,37.35,37.0,74.1,1
HI,2019,"Asian, non-Hispanic",41.45,30.700000000000003,30.45,68.2,0
HI,2019,"Black, non-Hispanic",27.5,,,,0
HI,2019,Female,34.75,25.2,25.05,69.55000000000001,0
HI,2019,"Hawaiian or Pacific Islander, non-Hispanic",40.95,25.75,25.6,58.7,1
HI,2019,Hispanic,36.0,24.05,23.85,51.25,1
HI,2019,Male,40.9,30.75,30.55,59.85,1
HI,2019,"Multiracial, non-Hispanic",42.05,30.9,30.75,63.05,1
HI,2019,Overall,37.8,27.95,27.8,63.900000000000006,0
HI,2019,"White, non-Hispanic",30.5,24.950000000000003,24.85,62.949999999999996,0
HI,2021,"Asian, non-Hispanic",39.849999999999994,37.65,37.400000000000006,76.3,0
HI,2021,"Black, non-Hispanic",28.6,,,,0
HI,2021,Female,33.65,29.45,29.25,74.5,0
HI,2021,"Hawaiian or Pacific Islander, non-Hispanic",36.65,25.75,25.700000000000003,63.95,1
HI,2021,Hispanic,31.75,29.1,28.45,61.25,1
HI,2021,Male,39.400000000000006,35.0,34.8,66.05000000000001,1
HI,2021,"Multiracial, non-Hispanic",38.9,31.35,31.25,65.25,1
HI,2021,Overall,36.45,32.3,32.1,69.65,0
HI,2021,"White, non-Hispanic",32.05,30.0,29.7,65.0,0
IA,2019,"Asian, non-Hispanic",12.4,,,,0
IA,2019,"Black, non-Hispanic",47.7,24.4,24.3,63.75,1
IA,2019,Female,37.05,29.2,29.0,74.05,0
IA,2019,Hispanic,30.700000000000003,27.5,27.5,56.05,0
IA,2019,Male,41.2,31.95,31.700000000000003,65.65,1
IA,2019,Overall,39.15,30.549999999999997,30.3,69.0,1
IA,2019,"White, non-Hispanic",39.75,31.35,31.15,70.75,1
IA,2021,"Asian, non-Hispanic",18.9,27.8,27.35,,1
IA,2021,"Black, non-Hispanic",51.400000000000006,23.450000000000003,23.35,71.85,1
IA,2021,Female,35.75,32.1,31.85,73.3,0
IA,2021,Hispanic,26.700000000000003,28.55,28.3,56.3,0
IA,2021,Male,40.8,32.15,31.75,65.8,1
IA,2021,Overall,38.25,32.15,31.75,68.95,1
IA,2021,"White, non-Hispanic",38.7,32.55,32.2,70.4,1
ID,2019,"American Indian or Alaska Native, non-Hispanic",49.8,,,,1
ID,2019,Female,35.45,27.4,27.200000000000003,66.6,0
ID,2019,Hispanic,35.25,18.950000000000003,18.950000000000003,61.45,0
ID,2019,Male,40.85,30.95,30.75,59.25,1
ID,2019,Overall,38.1,29.15,28.9,62.300000000000004,0
ID,2019,"White, non-Hispanic",37.8,30.3,30.1,61.900000000000006,0
ID,2021,"American Indian or Alaska Native, non-Hispanic",43.4,25.15,25.15,,0
ID,2021,Female,36.05,28.9,28.6,69.85,0
ID,2021,Hispanic,32.7,28.049999999999997,27.85,52.5,0
ID,2021,Male,39.35,32.75,32.4,60.099999999999994,1
ID,2021,Overall,37.75,30.75,30.45,64.15,1
ID,2021,"White, non-Hispanic",38.35,31.299999999999997,30.95,64.95,1
IL,2019,"Asian, non-Hispanic",30.799999999999997,25.5,25.3,,0
IL,2019,"Black, non-Hispanic",52.45,25.549999999999997,25.450000000000003,69.15,1
IL,2019,Female,38.3,27.9,27.8,70.2,0
IL,2019,Hispanic,34.4,25.65,25.5,68.0,0
IL,2019,Male,44.099999999999994,31.2,31.099999999999998,60.1,1
IL,2019,"Multiracial, non-Hispanic",35.0,25.85,25.85,,0
IL,2019,Overall,41.1,29.5,29.35,64.45,1
IL,2019,"White, non-Hispanic",41.45,31.75,31.599999999999998,63.35,1
IL,2021,"Asian, non-Hispanic",16.6,28.9,28.299999999999997,,0
IL,2021,"Black, non-Hispanic",46.099999999999994,28.75,28.75,75.35,1
IL,2021,Female,35.3,29.35,29.35,75.75,0
IL,2021,Hispanic,36.4,24.65,24.65,57.599999999999994,0
IL,2021,Male,41.0,30.9,30.700000000000003,68.3,1
IL,2021,Overall,38.05,30.099999999999998,30.05,71.55,1
IL,2021,"White, non-Hispanic",37.9,31.599999999999998,31.5,74.2,1
IN,2019,"Asian, non-Hispanic",,19.5,18.9,,0
IN,2019,"Black, non-Hispanic",56.15,30.25,29.799999999999997,73.0,1
IN,2019,Female,41.3,29.6,29.25,75.5,0
IN,2019,Hispanic,34.1,29.099999999999998,28.2,62.75,0
IN,2019,Male,45.45,33.45,33.0,67.35,1
